Country,2004,2017,% Change
Afghanistan,,,
Albania,645.00,3673.00,469.46
Algeria,1234.00,2301.00,86.47
American Samoa,,21.60,
Andorra,2791.00,2363.00,-15.34
Angola,194.00,595.00,206.70
Anguilla,54.00,71.00,31.48
Antarctica,,,
Antigua & Barbuda,246.00,249.00,1.22
Argentina,3457.00,5931.00,71.56
Armenia,263.00,1204.00,357.79
Aruba,728.00,1072.00,47.25
Australia,5215.00,6868.00,31.70
Austria,19374.00,25291.00,30.54
Azerbaijan,1279.00,2298.00,79.67
Bahrain,5667.00,10452.00,84.44
Baker I.,,,
Bangladesh,271.00,125.00,-53.87
Barbados,552.00,521.00,-5.62
Belarus,239.00,973.00,307.11
Belgium,6710.00,7887.00,17.54
Belize,231.00,321.00,38.96
Benin,174.00,242.00,39.08
Bermuda,272.00,224.00,-17.65
Bhutan,9.00,134.00,1388.89
Bolivia,480.00,871.00,81.46
Boznia & Herzegovina,190.00,536.00,182.11
Botswana,1523.00,..,
Bouvet I.,,,
Brazil,4794.00,6430.00,34.13
British Indian Ocean Territory,,,
British Virgin Is.,304.00,386.00,26.97
Brunei,119.00,201.00,68.91
Bulgaria,4630.00,7311.00,57.90
Burkina Faso,222.00,191.00,-13.96
Burundi,133.00,..,
Cambodia,1055.00,4503.00,326.82
Cameroon,..,..,
Canada,19145.00,16537.00,-13.62
Cape Verde,157.00,494.00,214.65
Cayman Is.,260.00,383.00,47.31
Central Aftican Republic,8.00,..,
Chad,..,122.00,
Chile,1785.00,3674.00,105.83
China,41761.00,55622.00,33.19
Christmas I.,,,
Cocos Is.,,,
Colombia,840.00,4193.00,399.17
Comoros,23.00,..,
Congo,..,373.00,
"Congo, DRC",36.00,..,
Cook Is.,83.00,121.00,45.78
Costa Rica,1453.00,2527.00,73.92
Cote d'Ivory,..,471.00,
Croatia,7912.00,11623.00,46.90
Cuba,2017.00,2970.00,47.25
Cyprus,2349.00,2441.00,3.92
Czech Republic,9047.00,10617.00,17.35
Denmark,4421.00,10267.00,132.23
Djibouti,26.00,..,
Dominica,80.00,81.00,1.25
Dominican Republic,3450.00,5141.00,49.01
East Timor,..,60.00,
Ecuador,819.00,1557.00,90.11
Egypt,7795.00,9628.00,23.52
El Salvador,951.00,1345.00,41.43
Equatorial Guinea,..,..,
Eritrea,87.00,..,
Estonia,1750.00,2918.00,66.74
Ethiopia,184.00,770.00,318.48
Falkland Is.,,,
Faroe Is.,,,
Fiji,504.00,693.00,37.50
Finland,2083.00,2731.00,31.11
France,74433.00,83767.00,12.54
French Guiana,..,185.00,
French Polynesia,212.00,181.00,-14.62
French Souther & Antarctic Lands,,,
Gabon,244.00,..,
Gaza Strip,,,
Georgia,368.00,5516.00,1398.91
Germany,20137.00,32999.00,63.87
Ghana,584.00,1093.00,87.16
Gibraltar,,,
Glorioso Is. ,,,
Greece,13313.00,22033.00,65.50
Greenland,,,
Grenada,134.00,134.00,0.00
Guadeloupe,456.00,..,
Guam,1160.00,1343.00,15.78
Guatemala,1182.00,2142.00,81.22
Guernsey,,,
Guinea,45.00,33.00,-26.67
Guinea-Bissau,..,..,
Guyana,122.00,206.00,68.85
Haiti,96.00,465.00,384.38
Heard I. & McDonlald Is.,,,
Honroudas,641.00,868.00,35.41
Howland I.,,,
Hungary,12212.00,12140.00,-0.59
Iceland,360.00,998.00,177.22
India,3457.00,7679.00,122.13
Indonesia,5321.00,9435.00,77.32
Iran,1659.00,4967.00,199.40
Iraq,..,..,
Ireland,6953.00,8813.00,26.75
Isle of Man,,,
Israel,1506.00,2927.00,94.36
Italy,37071.00,48576.00,31.04
Jamaica,1415.00,2080.00,47.00
Jan Mayen,,,
Japan,6138.00,13413.00,118.52
Jarvis I.,,,
Jersey,,,
Johnston Atoll,,,
Jordan,2853.00,3990.00,39.85
Juan De Nova I.,,,
Kazakhstan,3073.00,4560.00,48.39
Kenya,1199.00,1261.00,5.17
Kiribati,3.40,..,
Kuwait,3056.00,6528.00,113.61
Kyrgyzstan,..,2849.00,
Laos,407.00,3164.00,677.40
Latvia,1079.00,1843.00,70.81
Lebanon,1278.00,1355.00,6.03
Lesotho,1278.00,1355.00,6.03
Liberia,..,..,
Libya,..,..,
Liechtenstein,..,61.00,
Lituania,1800.00,2063.00,14.61
Luxembourg,878.00,1038.00,18.22
Macedonia,165.00,425.00,157.58
Madagascar,229.00,222.00,-3.06
Malawi,427.00,..,
Malaysia,15703.00,27437.00,74.72
Maldives,617.00,1205.00,95.30
